Data,Visitantes Únicos,Sessões,Taxa de Rejeição (%),Páginas por Sessão,Principais Origens do Tráfego,Dispositivos,Eventos,Taxa de Conversão (%),Tempo Médio de Sessão (minutos)
2023-02-17,397.0,646.0,25.12491883638841,4.904947923090791,Orgânico,Tablet,3,6.000508628740811,14.321277847259179
2023-02-18,411.0,647.0,24.072431848890496,5.110548443885106,Direto,Mobile,7,6.093551649241768,13.385780518269751
2023-02-19,446.0,630.0,21.626790353111844,5.279344467962716,Orgânico,Mobile,5,6.145097781304739,13.267199714431424
2023-02-20,424.0,652.0,23.374931427021917,5.452012021594177,Referência,Mobile,5,6.0454110140633155,13.33490380213639
2023-02-21,450.0,654.0,22.326782126363348,5.7526983620339776,Pago,Mobile,7,6.319382510760163,13.507349094805416
2023-02-22,453.0,661.0,21.69595935562625,5.696955653453963,Referência,Desktop,4,6.412802682011051,14.012296602920065
2023-02-23,446.0,714.0,22.645574593925616,5.561232632990365,Orgânico,Tablet,9,6.737849634977342,14.357016665374424
2023-02-24,509.0,710.0,22.72591477673324,5.657213707572005,Social,Desktop,4,6.557035089962566,14.460379297970094
2023-02-25,486.0,689.0,22.287212322506033,5.528307686394472,Orgânico,Desktop,5,6.691171683385904,14.87121874316208
2023-02-26,439.0,746.0,20.177731629319734,5.792907542293048,Orgânico,Mobile,2,6.742291534893882,14.599721284922005
2023-02-27,490.0,739.0,20.368753725843703,5.80667505187699,Pago,Desktop,6,6.713640670814318,15.455580597900694
2023-02-28,480.0,764.0,20.670246482251024,5.996747101898126,Direto,Desktop,3,7.029536518739637,14.732078363042039
2023-03-01,517.0,769.0,20.97554512712236,5.834553811289536,Direto,Mobile,6,7.075193303268677,16.36008458329481
